127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/videos.png, HTTP/1.1, 200, 0.000272
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/shadow-bottom.png, HTTP/1.1, 200, 0.000327
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/questions.png, HTTP/1.1, 200, 0.000297
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001405
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/favicon.ico, HTTP/1.1, 200, 0.000420
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/stripes.png, HTTP/1.1, 200, 0.000425
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/twitter.png, HTTP/1.1, 200, 0.000416
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/facebook.png, HTTP/1.1, 200, 0.000308
127.0.0.1, 2013-11-06 11:13:52, GET, /examples/static/images/gplus-32.png, HTTP/1.1, 200, 0.000317
127.0.0.1, 2013-11-06 11:13:53, GET, /admin/default/site, HTTP/1.1, 200, 0.048232
127.0.0.1, 2013-11-06 11:13:55, GET, /welcome/default/index, HTTP/1.1, 200, 0.045808
127.0.0.1, 2013-11-06 11:13:55, GET, /welcome/static/js/share.js, HTTP/1.1, 304, 0.000336
127.0.0.1, 2013-11-06 11:13:57, GET, /admin/default/site, HTTP/1.1, 200, 0.050019
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/default/index, HTTP/1.1, 200, 0.034759
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.000401
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/jquery.js, HTTP/1.1, 200, 0.000330
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/css/calendar.css, HTTP/1.1, 200, 0.000345
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/calendar.js, HTTP/1.1, 200, 0.000309
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/css/web2py.css, HTTP/1.1, 200, 0.000296
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/js/web2py.js, HTTP/1.1, 200, 0.000255
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000252
127.0.0.1, 2013-11-06 11:13:59, GET, /Performatrix/static/css/web2py_bootstrap.css, HTTP/1.1, 200, 0.000372
